简码：aq	安全
简码：bhel	不寒而栗
简码：bhes	不欢而散
简码：bhge	不合格
简码：bhgl	别鹤孤鸾
简码：bhgx	北回归线
简码：bhhx	白花花
简码：bhhy	不怀好意
简码：bhil	不合常理
简码：bhl	不合理
简码：bhli	白鹤亮翅
简码：bhlh	悲欢离合
简码：bhld	不回来
简码：bhmc	变幻莫测
简码：bhml	兵荒马乱
简码：bhma	巴哈马
简码：bhpj	不患贫而患不均
简码：bhqu	不回去
简码：bhqy	不合群
简码：bhqf	百花齐放
简码：bhre	不好惹
简码：bhsr	不划算
简码：bhsj	保护伞
简码：bhuo	不好说
简码：bhui	不合适
简码：bhuy	不合时宜
简码：bhvn	不惑之年
简码：bhvt	抱恨终天
简码：bhvy	百花争艳
简码：bhwi	变幻无常
简码：bhwq	变化无穷
简码：bhxp	冰魂雪魄
简码：bhxk	保护性
简码：bhys	不好意思
简码：bibn	不吵不闹
简码：bibj	罢黜百家
简码：bibv	把持不住
简码：biby	百吃不厌
简码：bify	不成方圆
简码：bigt	百尺竿头
简码：bigb	百尺竿头更进一步
简码：bigh	百川归海
简码：bihl	不差毫厘
简码：bijy	不成敬意
简码：bijv	别出机杼
简码：biln	拔出萝卜带出泥
简码：bimj	鞭长莫及
简码：biqw	不成其为
简码：bisl	不出所料
简码：bitt	不成体统
简码：bivt	不吃这一套
简码：biwt	不成问题
简码：bixc	别出心裁
简码：bixh	报仇雪恨
简码：bixw	不耻下问
简码：biyr	不齿于人
简码：bjbl	半斤八两
简码：bjbs	不见不散
简码：bjbz	不骄不躁
简码：bjbx	不疾不徐
简码：bjcs	饱经沧桑
简码：bjde	不见得
简码：bjdn	不减当年
简码：bjdl	不记得了
简码：bjdj	不计代价
简码：bjey	比较而言
简码：bjel	比肩而立
简码：bjev	不教而诛
简码：bjez	不胫而走
简码：bjfu	饱经风霜
简码：bjfq	不解风情
简码：bjfi	宝剑锋从磨砺出
简码：bjg	不及格
简码：bjgl	不见棺材不落泪
简码：bjgx	白驹过隙
简码：bjh	比较好
简码：bjhh	保驾护航
简码：bjj	不仅仅
简码：bjjv	比肩接踵
简码：bjkl	不积跬步无以至千里
简码：bjle	不见了
简码：bjlk	冰激凌
简码：bjlx	背井离乡
简码：bjly	保加利亚
简码：bjmg	不结盟
简码：bjmd	不结盟运动
简码：bjmz	不讲面子
简码：bjni	比基尼
简码：bjpb	保健品
简码：bjq	不久前
简码：bjqq	并驾齐驱
简码：bjqu	不计其数
简码：bjqx	不计前嫌
简码：bjrc	不仅如此
简码：bjrq	不近人情
简码：bjry	不尽人意
简码：bjrj	不尽然
简码：bjsl	不见森林
简码：bjss	不假思索
简码：bjst	巴基斯坦
简码：bjsc	悲剧色彩
简码：bjtr	不见天日
简码：bjty	不见兔子不撒鹰
简码：bju	北京市
简码：bjuq	杯酒释兵权
简码：bjvd	必经之地
简码：bjvj	败军之将
简码：bjvl	必经之路
简码：bjvm	百家争鸣
简码：bjvt	不经之谈
简码：bjvx	不见真佛不烧香
简码：bjvy	不解之缘
简码：bjwg	保家卫国
简码：bjwm	不尽完美
简码：bjx	百家姓
简码：bjxj	不拘小节
简码：bjxt	不尽相同
简码：bjy	不经意
简码：bjyg	别具一格
简码：bjyv	不经一事不长一智
简码：bjyd	败局已定
简码：bjyq	不讲义气
简码：bjyh	不久以后
简码：bjz	败家子
简码：bjzt	不进则退
简码：bjdx	北京大学
简码：bjux	北京师范大学
简码：bkby	百看不厌
简码：bkev	不可遏制
简码：bkfr	不可否认
简码：bkgl	不可估量
简码：bkgr	不可告人
简码：bkhq	不可或缺
简码：bkhu	不堪回首
简码：bkjd	不可兼得
简码：bkkj	不可开交
简码：bklv	不考虑
简码：bkly	不可理喻
简码：bkmb	百口莫辩
简码：bkmv	不可名状
简码：bkmm	不可磨灭
简码：bkng	不可能
简码：bknd	不可能的
简码：bknb	不可能吧
简码：bkpf	不可偏废
简码：bkpu	不靠谱
简码：bkqj	不可企及
简码：bkre	不堪入耳
简码：bkrm	不堪入目
简码：bkry	宾客如云
简码：bksm	不看僧面看佛面
简码：bksy	不可思议
简码：bkty	不可同日而语
简码：bkum	别开生面
简码：bkux	不堪设想
简码：bkvm	不可捉摸
简码：bkxb	不开心
简码：bkxq	不可小觑
简码：bkxw	不可信其无
简码：bkxx	不可想象
简码：bky	不可以
简码：bkym	不可以吗
简码：bkyd	不可以的
简码：bkyi	不可言传
简码：bkyj	不堪一击
简码：bkyv	不可言状
简码：bkyy	不可逾越
简码：bkzc	不可造次
简码：blbq	不离不弃
简码：blbj	波澜不惊
简码：blbl	不伦不类
简码：blby	表里不一
简码：blbr	不冷不热
简码：blbo	白萝卜
简码：blbx	奔流不息
简码：blcd	不理睬
简码：blcj	不吝赐教
简码：bldm	便利店
简码：bldh	波罗的海
简码：bldi	白兰地
简码：bldx	薄利多销
简码：bleh	不劳而获
简码：blfw	别浪费
简码：blfm	不露锋芒
简码：blfy	不良反应
简码：blfv	拨乱反正
简码：blfl	别浪费了
简码：blgv	巴拉圭
简码：blhv	博览会
简码：bliy	碧螺春
简码：blig	百炼成钢
简码：blih	鬓乱钗横
简码：blij	半路出家
简码：blix	兵临城下
简码：bljp	不了解
简码：bljd	兵来将挡
简码：bljj	濒临绝境
简码：bljl	不良记录
简码：bljy	八路军
简码：blju	本来就是
简码：blkd	不离开
简码：blkj	不落窠臼
简码：blkf	暴力抗法
简码：blle	不聊了
简码：blll	筚路蓝缕
简码：bllv	不了了之
简码：blmf	爆冷门
简码：blmm	本来面目
简码：blmi	菠萝蜜
简码：blpb	舶来品
简码：blpu	步履蹒跚
简码：blqq	保龄球
简码：blqm	不留情面
简码：blqr	壁立千仞
简码：blqu	博览群书
简码：blry	表里如一
简码：blrd	病来如山倒
简码：blsy	壁垒森严
简码：blse	布鲁塞尔
简码：blst	巴勒斯坦
简码：bltu	柏拉图
简码：blty	百里挑一
简码：blth	白里透红
简码：blu	不论是
简码：blui	比利时
简码：blus	不露声色
简码：blvf	避雷针
简码：blvj	不吝指教
简码：blvk	波澜壮阔
简码：blvt	别来这一套
简码：blw	芭蕾舞
简码：blwi	逼良为娼
简码：blwj	步履维艰
简码：blwx	包罗万象
简码：blwy	别来无恙
简码：blxn	半老徐娘
简码：blyu	不利于
简码：blyd	不留余地
简码：blyw	本来以为
简码：blz	伯利兹
简码：blzu	布朗族
简码：blzi	不良资产
简码：bmb	不明白
简码：bmbb	不明不白
简码：bmeh	不谋而合
简码：bmlf	八面来风
简码：bmnm	本命年
简码：bmnf	班门弄斧
简码：bmnu	不瞒你说
简码：bmqv	不谋其政
简码：bmsg	闭门思过
简码：bmuk	表面上看
简码：bmvd	不毛之地
简码：bmvv	百忙之中
简码：bmvx	不明真相
简码：bmvz	北美洲
简码：bmvy	笔墨纸砚
简码：bmvh	不买账
简码：bmwv	表面文章
简码：bmwz	白马王子
简码：bmxi	宝马香车
简码：bmxx	表面现象
简码：bmy	并没有
简码：bmys	兵马俑
简码：bmyq	不名一钱
简码：bmyw	不名一文
简码：bmzy	不鸣则已
简码：bnbn	不男不女
简码：bnby	百年不遇
简码：bndu	本年度
简码：bnfj	不耐烦
简码：bnhh	百年好合
简码：bnif	百鸟朝凤
简码：bnje	不念旧恶
简码：bnki	不难看出
简码：bnma	巴拿马
简码：bnny	百年难遇
简码：bnsy	饱暖思淫欲
简码：bnv	白内障
简码：bnxf	笨鸟先飞
简码：bnxx	不难想象
简码：bnzb	不能自拔
简码：bnzy	不能自已
简码：bpby	不偏不倚
简码：bpbh	不怕不识货
简码：bphg	不平衡
简码：bpi	不排除
简码：bplj	杯盘狼藉
简码：bpmu	不怕没柴烧
简码：bps	不怕死
简码：bpu	白皮书
简码：bpyt	白跑一趟
简码：bpyw	不怕一万
简码：bqau	不欺暗室
简码：bqbi	不清不楚
简码：bqbn	不屈不挠
简码：bqdk	不确定
简码：bqdx	不确定性
简码：bqev	不期而至
简码：bqey	不期而遇
简码：bqgy	薄情寡义
简码：bqiu	不清楚
简码：bqlb	冰淇淋
简码：bqmv	兵强马壮
简码：bqnu	屏气凝神
简码：bqrf	不求人
简码：bqrq	避其锐气
简码：bqlv	鼻青脸肿
简码：bqsy	版权所有
简码：bqtm	包青天
简码：bquj	不切实际
简码：bqvq	不情之请
简码：bqy	不起眼
简码：bqyg	不求有功
简码：bqyj	冰清玉洁
简码：bqzy	不起作用
简码：bqzl	不请自来
简码：brby	不仁不义
简码：brbs	勃然变色
简码：brde	不认得
简码：brdh	不然的话
简码：brdn	勃然大怒
简码：brfu	不容分说
简码：brgh	病入膏肓
简码：brh	白热化
简码：brhu	不容忽视
简码：brhi	步人后尘
简码：brhx	不入虎穴
简码：brlg	不容乐观
简码：brmg	白日梦
简码：brmq	被人卖了还帮着数钱
简码：brqi	哺乳期
简码：brtw	不如退而结网
简码：brui	不认识
简码：bruo	比如说
简码：brum	不辱使命
简码：brv	不认账
简码：brvg	步入正轨
简码：brvu	不忍直视
简码：brvh	不容置喙
简码：brvy	不容置疑
简码：brxk	包容性
简码：brxj	兵戎相见
简码：brxq	不容小觑
简码：bryi	不容易
简码：bryu	不容有失
简码：bryj	不如意事常八九
简码：brzd	不忍卒读
简码：brzm	白日做梦
简码：bsbh	半死不活
简码：bsb	百思不得其解
简码：bsbj	百思不解
简码：bsbx	不死不休
简码：bsbs	不三不四
简码：bshg	不思悔改
简码：bsjq	不思进取
简码：bskb	白色恐怖
简码：bsls	变色龙
简码：bsln	巴塞罗那
简码：bsny	波斯尼亚
简码：bsrq	比死人多口气
简码：bsuu	不算数
简码：bsvk	不速之客
简码：bswj	波斯湾
简码：bswy	必死无疑
简码：bsxb	不死心
简码：btby	不痛不痒
简码：btbj	半推半就
简码：btbk	不吐不快
简码：btbn	笨头笨脑
简码：btds	不太懂
简码：btdj	八抬大轿
简码：btdl	白头到老
简码：btdu	不停的说
简码：btdr	不同的人
简码：btef	半途而废
简码：btfa	白头发
简码：btfx	不同凡响
简码：btfs	不同凡俗
简码：bthc	不太好
简码：bthy	白天黑夜
简码：bthl	冰糖葫芦
简码：btih	不提倡
简码：btid	不同程度
简码：btiu	不同程度上
简码：btjm	不推荐
简码：btkn	不太可能
简码：btl	别提了
简码：btlj	不太了解
简码：btlu	遍体鳞伤
简码：btlx	不太理想
简码：btle	拜托了
简码：btly	不听老人言
简码：btmk	半透明
简码：btmb	不太明白
简码：btmr	悲天悯人
简码：btq	不听劝
简码：btqr	趵突泉
简码：btqi	不太清楚
简码：btrl	暴跳如雷
简码：btti	扁桃体
简码：bttk	抱头痛哭
简码：bttw	暴殄天物
简码：btuv	半桶水
简码：btuc	抱头鼠窜
简码：btuh	遍体生寒
简码：btvi	不同之处
简码：btvj	不同政见
简码：btwg	白头翁
简码：btx	不太像
简码：btxd	冰天雪地
简码：btxl	白头偕老
简码：btxy	波涛汹涌
简码：btxi	不同寻常
简码：btyi	不同意
简码：btyu	不同于
简码：btyj	悲痛欲绝
简码：btyy	不太一样
简码：btyb	不提也罢
简码：buba	不是吧
简码：bubl	百试百灵
简码：bubs	半身不遂
简码：bubu	半生不熟
简码：bubx	不声不响
简码：bubz	比上不足
简码：bud	辨识度
简码：bufd	不守妇道
简码：bufy	饱受非议
简码：buh	不适合
简码：buhd	不识好歹
简码：buhi	班师回朝
简码：buhx	不识好人心
简码：buhu	白山黑水
简码：buiu	办事处
简码：buix	杯水车薪
简码：buid	不是吃素的
简码：bujl	不胜酒力
简码：buja	备受煎熬
简码：bukh	宝山空回
简码：bukl	百事可乐
简码：bule	不说了
简码：bulu	逼上梁山
简码：buma	不是吗
简码：buml	不甚明了
简码：buqf	不胜其烦
简码：buqj	白手起家
简码：buqx	冰释前嫌
简码：burx	不胜荣幸
简码：butj	不识抬举
简码：buuw	不识时务
简码：buud	不是省油的灯
简码：buuj	不失时机
简码：buvr	饱食终日
简码：buvx	不时之需
简码：buw	不失为
简码：buwm	榜上无名
简码：buwy	必输无疑
简码：buwt	不是问题
简码：buxw	博士学位
简码：buy	不适应
简码：buyb	不说也罢
简码：buyg	不是一个
简码：buyj	冰山一角
简码：buym	榜上有名
简码：buyv	背水一战
简码：buyy	败事有余
简码：bvbj	不知不觉
简码：bvbb	包治百病
简码：bvbd	百战不殆
简码：bvbh	百折不回
简码：bvbk	不折不扣
简码：bvbl	保质保量
简码：bvbn	百折不挠
简码：bvbu	百战百胜
简码：bvby	半遮半掩
简码：bvdc	不知道
简码：bvdl	不知道了
简码：bvdm	不知道为什么
简码：bvde	不值得
简码：bvdn	不着调
简码：bveb	不战而屈人之兵
简码：bveu	不战而胜
简码：bvfa	辩证法
简码：bvgz	本职工作
简码：bvtg	不折腾
简码：bvtk	不中听
简码：bvh	标准化
简码：bvhx	屏住呼吸
简码：bvhd	不知好歹
简码：bvhz	白纸黑字
简码：bvhj	不着痕迹
简码：bvii	不支持
简码：bvih	扮猪吃老虎
简码：bvjb	保证金
简码：bvjl	不知就里
简码：bvjq	避重就轻
简码：bvjt	不知进退
简码：bvli	不知廉耻
简码：bvkf	不置可否
简码：bvmk	不知名
简码：bvnt	不撞南墙不回头
简码：bvqm	不值钱
简码：bvqe	不知其二
简码：bvqx	不知去向
简码：bvqi	保质期
简码：bvqk	不知情
简码：bvqu	不知趣
简码：bvqt	不正确
简码：bvqv	不知轻重
简码：bvqr	不知其所以然
简码：bvrf	班主任
简码：bvrg	宾至如归
简码：bvrw	不知肉味
简码：bvsc	不知所措
简码：bvsv	不知所终
简码：bvsy	不知所云
简码：bvth	不知天高地厚
简码：bvui	不只是
简码：bvuq	不知深浅
简码：bvus	不知生死
简码：bvve	标志着
简码：bvvd	必争之地
简码：bvvf	不正之风
简码：bvvj	伯仲之间
简码：bvvv	不治之症
简码：bvvz	不知者不罪
简码：bvw	不指望
简码：bvwh	不知为何
简码：bvwv	不知为不知
简码：bvxk	标志性
简码：bvxi	不知羞耻
简码：bvy	不至于
简码：bvyb	不至于吧
简码：bvyc	不止一次
简码：bvyt	不值一提
简码：bvyu	不值一哂
简码：bvyv	白纸一张
简码：bvyw	不值一文
简码：bvyl	报之以李
简码：bvyy	秉烛夜游
简码：bvzv	敝帚自珍
简码：bwbh	不温不火
简码：bwbj	百闻不如一见
简码：bwbw	不闻不问
简码：bwcx	不枉此行
简码：bwdk	不稳定
简码：bwg	博物馆
简码：bwgx	不无关系
简码：bwhu	不外乎
简码：bwiw	别无长物
简码：bwjj	百无禁忌
简码：bwjy	保外就医
简码：bwkv	不问可知
简码：bwqr	包围圈
简码：bwqj	博闻强记
简码：bwqv	博闻强识
简码：bwqb	不畏强暴
简码：bwrv	不为人知
简码：bwsq	别无所求
简码：bwsd	不为所动
简码：bwtt	别无他途
简码：bwtw	别无他物
简码：bwtf	别无他法
简码：bwv	保卫战
简码：bwvy	不务正业
简码：bwvq	比武招亲
简码：bwwq	不为瓦全
简码：bwwa	布娃娃
简码：bwwy	不为五斗米折腰
简码：bwxz	别无选择
简码：bwyg	霸王硬上弓
简码：bwyu	百无一用是书生
简码：bxaa	白雪皑皑
简码：bxb	便携版
简码：bxba	不行吧
简码：bxbd	不咸不淡
简码：bxbk	白血病
简码：bxbf	不修边幅
简码：bxbt	本乡本土
简码：bxby	半信半疑
简码：bxcx	不虚此行
简码：bxcm	冰雪聪明
简码：bxde	不晓得
简码：bxdc	博学多才
简码：bxdu	不想多说
简码：bxdh	彪形大汉
简码：bxdx	碧血丹心
简码：bxeg	败兴而归
简码：bxfu	不相符
简码：bxfa	变戏法
简码：bxgr	不习惯
简码：bxgb	不惜工本
简码：bxgd	兵行诡道
简码：bxgh	八仙过海
简码：bxgv	白雪公主
简码：bxhr	不喜欢
简码：bxhx	不像话
简码：bxhj	不稀罕
简码：bxif	不相称
简码：bxiu	笔下超生
简码：bxjp	步行街
简码：bxjh	抱薪救火
简码：bxjj	悲喜交集
简码：bxle	不行了
简码：bxlq	必先利其器
简码：bxly	标新立异
简码：bxlw	本小利微
简码：bxma	不行吗
简码：bxni	不像你
简码：bxny	本性难移
简码：bxnu	屏息凝神
简码：bxpb	必需品
简码：bxqi	保修期
简码：bxqj	保险起见
简码：bxqv	败絮其中
简码：bxqy	背信弃义
简码：bxru	不省人事
简码：bxsq	不徇私情
简码：bxu	半小时
简码：bxui	八小时
简码：bxux	不相上下
简码：bxvv	不祥之兆
简码：bxwh	不希望
简码：bxwj	冰消瓦解
简码：bxwm	不相为谋
简码：bxwu	不学无术
简码：bxx	不小心
简码：bxxb	不相信
简码：bxxp	不信邪
简码：bxyc	不需要
简码：bxyu	不屑于
简码：bxyv	不幸言中
简码：bxyg	不屑一顾
简码：bxyy	比下有余
简码：bxzs	不肖子孙
简码：bybj	不一般
简码：bybr	不依不饶
简码：bybu	暴饮暴食
简码：byc	贬义词
简码：byci	褒义词
简码：bydk	不一定
简码：bydi	比亚迪
简码：bydv	不要当真
简码：bydt	别有洞天
简码：bydh	必要的话
简码：bydu	不用多说
简码：byef	不翼而飞
简码：byet	不约而同
简码：byey	不言而喻
简码：byez	不一而足
简码：byff	八月份
简码：byfu	不由分说
简码：byfw	别有风味
简码：bygd	不应该
简码：bygr	不用管
简码：byhf	必有后福
简码：byhx	必有回响
简码：byjb	不要紧
简码：byjl	不宜久留
简码：byjr	拨云见日
简码：bykq	不用客气
简码：bylm	不要脸
简码：bylc	不予理睬
